"id" "total.count" "rat.count" "ckr.count" "xc" "yc" "market.dist" "sewer.dist" "catfeeding.dist"
1262 2 2 0 434750 4479250 1025.65217391304 624.739130434783 754.826086956522
1332 1 0 1 439250 4478500 1065.42857142857 548.642857142857 550.928571428571
1365 2 0 2 442500 4478250 530.238095238095 537.47619047619 481.333333333333
1397 1 0 1 439750 4477750 750.277777777778 110.314814814815 102.555555555556
1424 2 1 1 448500 4477500 323.404255319149 39.5106382978723 45.4255319148936
1453 1 0 1 439250 4476750 350.193548387097 221.806451612903 147
1494 3 2 1 444000 4476250 334.5 300 334.25
1502 2 0 2 439500 4476000 167.673913043478 238.586956521739 167.108695652174
1513 4 2 2 445250 4476000 285 142.3671875 129.984375
1523 2 1 1 443000 4475750 101.076923076923 425.769230769231 306.015384615385
1545 1 0 1 438250 4475250 80.7 39.1 60.3
1652 4 2 2 439750 4473000 281.4375 209.625 247
1692 3 3 0 434250 4472250 504.527777777778 288.944444444444 273.027777777778
1715 1 0 1 436500 4472000 272.571428571429 80.5 40.2857142857143
1721 1 0 1 445250 4472000 674.222222222222 125.666666666667 69.7777777777778
1768 1 1 0 436500 4471000 419.555555555556 261.666666666667 259.888888888889
1797 3 2 1 436750 4470500 410.653846153846 192.807692307692 270.576923076923
1814 3 1 2 439250 4470250 275.875 58.625 565.125
1838 4 0 4 443750 4469750 145.630136986301 63.1369863013699 103.890410958904
1887 4 2 2 439750 4467250 156.8 34 35.8
1891 4 4 0 439500 4467000 260.407407407407 45 144.444444444444
